"mz","rt","SPC.15V.1","SPC.30V.1","SPC.45V.1","mzinmgf","rtinmgf","mz_ms2","int_ms2","CE"
110.0085427,38.4525,18084.252,13699.72667,12800.17313,110.00842,38,68.9848,8565,15
198.9417127,38.238,19914.32308,19094.08985,16233.11769,198.93962,38,84.9611,3083,30
214.9162636,37.847,18153.64615,18731.56169,10634.36138,214.917,38,158.0271,16249,15
362.924359,41.548,117523.0925,32303.11255,194986.5063,362.92701,41,226.9516,108753,15
327.0506305,41.167,33562.2525,32286.28444,36262.66833,327.05123,40,191.076,17695,15
158.9638954,41.548,142659.036,66613.6005,123452.2532,158.964,41,90.9801,13756,15
208.8877678,44.108,41639.01867,48191.37833,55582.35,208.89065,44,82.9465,3855,30
216.9257674,43.797,89928.43846,74130.36956,77079.31267,216.92228,43,80.9506,15086,30
196.8651163,45.808,140207.3215,141667.042,120152.5662,196.86459,44,80.9502,13271,15
203.0466129,46.648,35458.751,1062638.199,69755.7608,203.05244,46,162.1125,4031,15
372.7371066,46.648,220702.1817,220029.4775,207571.3594,372.73851,44,256.8204,15270,15
382.7626417,44.968,67401.08408,61599.6672,46794.2,382.76743,44,256.8217,13066,15
440.7247657,44.8225,76699.39567,51359.0235,70463.3,440.72566,44,256.8206,2543,15
490.651761,47.478,248774.6844,268584.6717,214545.4891,490.652,44,256.8212,1722,15
498.6831529,44.8225,65345.45333,46916.89527,59653,498.68389,44,80.9486,1162,45
556.6460891,44.677,66355.01342,52904.81045,53761.90857,556.64221,44,440.7294,799.6819,15
616.5971653,44.677,60743.42167,47702.95364,43899.95,616.59561,45,256.8195,1148,30
104.1035683,47.277,48193.01673,49372.19719,33176.23696,104.10747,45,60.0846,83647,30
140.0696368,45.2675,68471.36683,63556.164,36106.62825,140.06828,45,96.0785,19076,15
198.8600948,45.808,114036.2666,178424.6142,105779.3354,198.86227,45,80.9504,5612,15
162.1064785,48.957,292714.1258,342862.1422,52543.49933,162.11211,46,103.0409,24485,15
383.1146584,47.277,217106.9484,226538.4828,104120.2486,383.11507,46,203.0531,37684,15
144.102,48.117,38967.66568,31806.88792,85035.70508,144.1018,47,58.0691,32258,30
187.0618247,48.117,30830.63661,46042.52576,60027.64848,187.05688,47,162.1127,3548,15
169.0420482,49.957,20182.91496,45983.7467,91630.59262,169.03532,48,141.0414,12617,15
160.12892,48.251,35453.17404,24113.10717,53248.88226,160.13277,48,101.0612,4467,15
270.9602094,48.957,28863.09426,111993.3141,66625.829,270.95788,48,234.98,7046,15
72.08374194,60.11,10626.13255,39162.84276,55824.4763,72.08241,62,55.0585,56269,15
141.00027,52.427,160171.0487,158661.9645,265259.6047,141.00034,52,77.04,5257,15
186.1115858,49.796,11905.9245,21204.16493,23877.84,186.11203,49,126.092,2592,30
280.1354655,54.9885,27446.08853,7671.16725,29188.00238,280.13861,49,262.1283,8663,15
337.9221428,49.128,13564.43415,16372.88193,16797.38575,337.9229,49,162.0493,3572,15
453.839692,49.128,24098.04923,22798.57838,21490.72235,453.84021,49,337.919,790,15
226.0467768,61.9,189156.3132,42073.31553,94136.4795,226.04373,51,203.0532,2394,15
424.7946323,51.607,9178.459071,7555.556,13302.78871,424.79813,52,308.8808,1156,15
432.6934265,47.277,246274.6176,277174.5996,274528.4363,432.69268,44,80.9498,2080,45
544.707171,51.607,14710.53769,12918.331,8393.690588,544.70643,52,428.6958,754,15
308.8780732,50.411,25320.11462,20053.23438,20386.16231,308.87837,51,135.0035,6609,30
370.7400818,46.648,117663.0053,113486.145,103179.3718,370.74073,53,254.8259,5175,15
430.7007745,47.821,218445.6155,252010.2096,276518.5757,430.69617,44,80.9512,2431,30
488.6541308,47.478,237923.8995,233533.3261,209256.1066,488.65447,53,372.7366,1336,15
118.084827,60.757,87877.77388,95362.02365,168496.7877,118.08651,61,55.0587,35264,30
546.6138954,47.969,174847.9346,175417.7415,170766.4646,546.61274,55,430.6938,1006,15
254.8229143,45.808,192273.7282,169718.7112,136349.7877,254.82414,45,80.9498,9938,30
236.0754798,60.11,295194.6527,183608.7406,293372.9918,236.07129,58,158.0315,838,15
282.1189621,58.257,15017.08293,13371.58933,9972.8784,282.11972,60,150.0777,3052,30
171.1483101,62.397,54193.68564,16477.01033,83083.335,171.1491,62,58.069,75055,30
177.0975966,61.9,43272.53665,52220.199,50609.62122,177.10222,61,80.0512,36516,30
185.1658423,61.9,49001.21227,36926.907,59935.88016,185.16462,61,123.1182,6268,30
231.0814882,63.217,30453.4435,45142.81417,10894.60429,231.08385,61,204.123,5030,15
429.0971205,61.6415,49771.337,41099.99831,38247.26189,429.10106,61,226.0438,8791,30
182.0783464,62.536,38785.49952,16846.27544,46405.73859,182.08098,62,165.0549,181991,15
153.0724368,63.063,58924.6392,54517.43411,65515.35473,153.06476,63,136.0416,20835,15
411.1456548,63.217,17301.40638,6276.371111,12681.09692,411.14895,64,231.0821,1481,15
199.1794437,66.447,41032.23676,41991.86094,39850.42026,199.18061,66,84.0831,6271,30
229.1581046,63.63,80382.31476,107178.5482,275172.3284,229.15413,67,142.0868,5356,30
86.0979497,71.645,403544.5339,7280.0845,74328.36253,86.09756,68,69.0731,72870,15
156.1419155,66.447,26671.07733,19262.20613,12198.37125,156.13791,66,58.0691,8909,30
276.1431989,70.7175,172733.8216,127193.4859,172190.2874,276.14369,71,258.136,7333,15
294.1538383,71.306,157768.9923,136480.7285,114650.9735,294.15488,72,276.1444,57748,15
334.0917067,68.2305,17680.47509,13778.65176,12690.16835,334.09181,69,203.0524,2691,15
218.1449114,73.746,83194.61936,78921.84,91608.96143,218.13899,72,85.0305,37305,30
316.1348717,70.825,99119.27757,102685.0718,89486.94432,316.13669,72,276.142,1784,15
367.1489778,83.599,55719.90267,62448.33078,53319.16333,367.15016,84,230.0805,1052,30
459.1955,72.926,234486.9683,203111.2216,263054.1597,459.19694,73,132.1028,4693,15
328.1050378,73.305,42870.93475,42780.59715,45062.89375,328.10247,73,152.0716,9560,15
350.0914763,72.926,194075.3905,168075.5792,86547.25479,350.08497,72,174.0517,6381,30
387.1004982,72.417,31917.62889,24608.59523,27260.16738,387.10119,73,176.0605,2139,30
176.0642602,71.48,190008.9716,165830.0679,95226.15309,176.06522,74,132.1015,1623,15
262.1643545,76.156,35128.88129,37542.72667,31388.05342,262.16414,76,85.0307,3544,30
