mz,tr,SPC.15V.1,SPC.30V.1,SPC.45V.1
54.00938845,867.868,297220.096,262190.9618,290320.048
54.00912905,1757.91,625295.7788,57753.50294,508164.8606
54.00921987,54.927,235518.085,324180.104,301519.82
54.01119574,523.842,475525.3446,445851.4657,181282.3557
54.00919802,789.403,129355.0893,117460.656,99407.418
54.01136902,1304.41,129159.045,138729.1211,157347.0019
54.00933384,970.782,194203.1457,229080.5087,347223.7371
54.01844932,433.3335,54042.9906,14920.67167,102687.789
54.01759992,522.368,84113.67375,328847.1766,115624.6623
54.01697932,1754.56,170126.009,279204.228,127874.7947
54.01641829,55.7585,110503.624,111037.9344,99098.39394
55.0567792,60.757,28752.68,25478.66413,12446.74844
55.93630528,1750.68,31140.26222,42821.482,18110.71833
56.0523362,60.757,10795.76394,18967.00378,13244.78276
58.0679415,46.5375,20838.0095,12620.58833,16900.39632
144.102,48.117,38967.66568,31806.88792,85035.70508
61.04293185,48.957,37976.34894,32376.92981,9016.108889
158.0235658,524.119,506317.2438,667980.866,803071.7549
68.01188815,50.411,43350.42776,46757.788,45180.02439
68.01296893,1756.18,88262.62316,196798.1131,121413.1139
68.01177128,855.528,36361.88345,46640.264,63416.93967
68.01537289,210.391,53380.03132,14512.732,25000.23589
68.01540104,1771.88,148018.255,52551.85034,41346.363
69.07150265,68.896,13862.86433,17983.69462,20762.275
70.06726828,48.117,28371.84375,17861.49933,61813.95692
71.93055848,1753.54,44392.98429,30811.89,57766.65146
72.08374194,60.11,10626.13255,39162.84276,55824.4763
73.08583688,60.757,11570.76114,11121.0493,6315.4966
77.03820489,522.69,119659.857,226083.195,142213.8069
77.03913609,208.751,62631.57477,210353.7508,28731.6414
77.03842717,98.075,56297.20042,79142.14353,8229.813333
79.05566286,97.294,19353.12583,14260.47378,14347.23316
80.04920043,524.119,124847.1226,113533.834,212021.6083
80.05067567,33.382,57740.30907,112558.2481,65067.54082
80.04890455,405.445,72330.80144,107906.6195,116607.5746
80.05137614,1747.865,77354.87419,89818.74054,85103.92423
80.05092126,1328.23,16555.10765,38970.12737,27495.6
254.8229143,45.808,192273.7282,169718.7112,136349.7877
81.93833989,1747.54,25006.04571,48794.64686,38743.47
82.94650302,45.567,22184.65356,17643.66882,49503.84771
84.08007036,60.11,12418.08867,15822.58753,16235.4972
84.96043611,37.434,10650.72857,15321.88452,22999.05131
84.96017214,1741.47,20942.88,23593.71048,11311.72889
85.02932549,49.128,13156.22015,14323.48071,12661.56881
86.0979497,71.645,403544.5339,7280.0845,74328.36253
87.10061482,72.116,22503.12305,41867.15705,50514.16335
87.92460154,1749.58,90739.73609,116122.6309,82589.93654
90.97704414,41.409,38479.91815,22370.502,23153.0446
91.0543822,97.6845,11121.11748,8472.485944,10698.9036
93.06974075,98.121,7435.006667,10580.41716,9138.145556
96.96125439,1749.58,110972.2067,126756.0705,83690.68378
